# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul 31 13:05:25 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
#
pl_name,sy_snum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
CoRoT-29 b,1,0.038600,0.005900,-0.005900,0,10.088,1.793,-1.793,0,270.15550,63.56600,-63.56600,0,0.082000,0.081000,-0.081000,0,0.90,0.12,-0.12,0,0.97,0.14,-0.14,0,0.200,0.100,-0.100,0
CoRoT-3 b,1,0.057830,0.000850,-0.000850,0,11.320,0.780,-0.780,0,6883.91000,317.80000,-317.80000,0,0.000000,,,0,1.56,0.09,-0.09,0,1.37,0.09,-0.09,0,0.140,0.040,-0.040,0
CoRoT-30 b,1,0.084400,0.001200,-0.001200,0,11.310,0.852,-0.852,0,921.70700,69.92260,-69.92260,0,0.007000,0.031000,-0.031000,0,0.91,0.09,-0.03,0,0.98,0.03,-0.05,0,0.020,0.100,-0.100,0
CoRoT-31 b,1,0.058600,0.003400,-0.003400,0,16.365,3.363,-3.363,0,266.97720,108.06220,-108.06220,0,0.020000,0.160000,-0.160000,0,2.15,0.56,-0.66,0,1.25,0.22,-0.21,0,0.000,0.100,-0.100,0
CoRoT-4 b,1,0.090000,0.001000,-0.001000,0,13.340,0.670,-0.560,0,228.83000,25.43000,-25.43000,0,0.000000,0.100000,-0.100000,0,1.17,0.01,-0.03,0,1.16,0.03,-0.02,0,0.050,0.070,-0.070,0
CoRoT-5 b,1,0.049470,0.000260,-0.000290,0,15.558,0.516,-0.527,0,148.42000,14.93700,-7.62800,0,0.090000,0.090000,-0.040000,0,1.19,0.04,-0.04,0,1.00,0.02,-0.02,0,-0.250,0.060,-0.060,0
CoRoT-6 b,1,0.085500,0.001500,-0.001500,0,13.068,0.392,-0.392,0,940.74000,108.06000,-108.06000,0,0.100000,,,1,1.02,0.03,-0.03,0,1.05,0.05,-0.05,0,-0.200,0.100,-0.100,0
CoRoT-7 b,1,0.017016,0.000170,-0.000036,0,1.681,0.112,-0.112,0,4.07661,1.01982,-1.01982,0,0.000000,,,0,0.83,0.04,-0.04,0,0.82,0.17,-0.17,0,0.050,,,0
CoRoT-7 c,1,0.046000,,,0,2.830,,,0,8.40000,0.90000,-0.90000,0,0.000000,,,0,0.86,0.05,-0.04,0,0.90,0.12,-0.10,0,0.060,0.100,-0.100,0
CoRoT-7 d,1,,,,,4.310,,,0,17.14200,2.55200,-2.55200,0,,,,,0.84,0.01,-0.01,0,0.92,0.02,-0.02,0,0.020,0.020,-0.020,0
CoRoT-8 b,1,0.063000,0.001000,-0.001000,0,6.390,0.220,-0.220,0,69.92000,9.53000,-9.53000,0,0.000000,,,0,0.77,0.02,-0.02,0,0.88,0.04,-0.04,0,0.300,0.100,-0.100,0
CoRoT-9 b,2,0.402100,0.005400,-0.005400,0,11.949,0.841,-0.706,0,266.97720,15.89150,-15.89150,0,0.133000,0.042000,-0.037000,0,0.96,0.06,-0.06,0,0.96,0.04,-0.04,0,-0.010,0.060,-0.060,0
CoRoTID 223977153 b,1,0.071000,0.001000,-0.001000,0,6.389,0.673,-0.560,0,47.67450,31.78300,-31.78300,0,,,,,0.79,0.08,-0.09,0,1.08,0.08,-0.07,0,0.000,0.200,-0.200,0
DE CVn b,2,5.750000,2.020000,-2.020000,0,12.400,,,0,3823.27330,955.81833,-955.81833,0,0.000000,,,0,0.42,0.01,-0.01,0,0.51,,,0,,,,
DENIS-P J082303.1-491201 b,1,0.360000,0.010000,-0.010000,0,11.900,,,0,9057.77000,603.85000,-603.85000,0,0.345000,0.068000,-0.064000,0,,,,,0.07,0.01,-0.01,0,,,,
DH Tau b,1,330.000000,,,0,30.264,8.967,-8.967,0,3496.00000,3178.00000,-953.00000,0,,,,,0.27,0.07,-0.07,0,0.33,,,0,,,,
DMPP-1 b,1,0.146200,0.001200,-0.001200,0,5.290,,,0,24.27000,1.16000,-1.59000,0,0.083000,,,1,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,,,,
DMPP-1 c,1,0.073300,0.000600,-0.000700,0,3.060,,,0,9.60000,0.53000,-1.58000,0,0.057000,,,1,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,,,,
DMPP-1 d,1,0.042200,0.000400,-0.000300,0,1.650,,,0,3.35000,0.38000,-0.34000,0,0.070000,,,1,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,,,,
DMPP-1 e,1,0.065100,0.000500,-0.000500,0,1.860,,,0,4.13000,0.66000,-1.14000,0,0.070000,,,1,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,,,,
DMPP-2 b,1,0.066400,0.000500,-0.000500,0,14.300,,,0,138.89171,9.53490,-18.75197,0,0.078000,,,0,1.78,0.09,-0.09,0,1.44,0.03,-0.03,0,,,,
DMPP-3 A b,2,0.066200,0.001300,-0.001300,0,1.410,,,0,2.58000,0.35000,-0.58000,0,0.140000,0.091000,-0.053000,0,0.91,0.02,-0.02,0,0.87,0.05,-0.05,0,0.180,0.090,-0.090,0
DP Leo b,2,8.190000,0.390000,-0.390000,0,12.700,,,0,1995.88832,184.33363,-184.33363,0,0.390000,0.130000,-0.130000,0,0.01,,,0,0.69,,,0,,,,
DS Tuc A b,2,,,,,5.700,0.170,-0.170,0,413.17900,,,1,0.000000,,,0,0.96,0.03,-0.03,0,1.01,0.06,-0.06,0,0.000,,,0
EPIC 201170410.02,1,0.034900,0.002700,-0.002200,0,1.047,0.276,-0.257,0,1.15000,,,0,0.000000,,,0,0.28,0.07,-0.07,0,0.29,0.10,-0.08,0,-0.048,0.150,-0.210,0
EPIC 201238110 b,1,,,,,1.870,0.200,-0.450,0,4.16000,,,0,,,,,0.37,0.09,-0.04,0,0.41,0.11,-0.05,0,,,,
EPIC 201427007 b,1,,,,,1.500,0.200,-0.200,0,2.86000,,,0,,,,,0.94,0.09,-0.09,0,0.93,,,0,-0.053,0.240,-0.240,0
EPIC 201497682 b,1,,,,,0.692,0.059,-0.048,0,0.26000,,,0,,,,,0.55,0.02,-0.02,0,0.78,0.09,-0.17,0,-0.089,0.013,-0.013,0
EPIC 201595106 b,1,,,,,1.300,0.100,-0.100,0,2.24000,,,0,,,,,0.93,0.06,-0.06,0,1.02,0.14,-0.12,0,-0.010,0.030,-0.030,0
EPIC 201615463 c,1,,,,,1.220,0.210,-0.170,0,1.98000,,,0,,,,,1.60,0.01,-0.02,0,1.07,0.03,-0.03,0,-0.051,0.017,-0.017,0
EPIC 201754305 d,1,,,,,1.030,0.085,-0.086,0,1.08000,,,0,,,,,0.54,0.02,-0.01,0,0.67,0.03,-0.04,0,-0.330,0.040,-0.040,0
EPIC 201757695.02,1,0.029600,0.000500,-0.000500,0,0.908,0.059,-0.064,0,0.68800,,,0,0.000000,,,0,0.66,0.04,-0.04,0,0.73,0.04,-0.05,0,-0.003,0.120,-0.300,0
EPIC 201833600 c,1,,,,,1.000,0.120,-0.110,0,0.97200,,,0,,,,,0.63,0.04,-0.04,0,0.61,0.06,-0.06,0,-0.113,0.060,-0.060,0
EPIC 201841433 b,1,0.035000,0.000900,-0.001000,0,1.040,0.037,-0.032,0,1.12000,,,0,,,,,0.63,0.04,-0.02,0,0.80,0.08,-0.16,0,0.000,,,0
EPIC 205950854 c,1,,,,,1.310,0.144,-0.063,0,2.27000,,,0,,,,,0.83,0.09,-0.04,0,0.88,0.06,-0.03,0,-0.130,0.080,-0.080,0
EPIC 206024342 b,1,,,,,1.700,0.590,-0.310,0,3.53000,,,0,,,,,0.82,0.10,-0.04,0,0.93,0.08,-0.10,0,-0.220,0.060,-0.060,0
EPIC 206024342 c,1,,,,,1.400,0.500,-0.500,0,2.54000,,,0,,,,,1.10,0.36,-0.36,0,0.93,0.08,-0.10,0,-0.220,0.060,-0.060,0
EPIC 206024342 d,1,,,,,2.600,0.900,-0.900,0,7.27000,,,0,,,,,1.10,0.36,-0.36,0,0.93,0.08,-0.10,0,-0.220,0.060,-0.060,0
EPIC 206032309 b,1,,,,,1.010,0.240,-0.130,0,1.01000,,,0,,,,,0.37,0.01,-0.01,0,0.22,0.04,-0.06,0,,,,
EPIC 206042996 b,1,,,,,1.700,0.200,-0.200,0,3.53000,,,0,,,,,0.50,0.04,-0.04,0,0.57,0.05,-0.05,0,0.006,0.120,-0.120,0
EPIC 206042996 c,1,,,,,1.200,0.200,-0.100,0,1.87000,,,0,,,,,0.50,0.04,-0.04,0,0.57,0.05,-0.05,0,0.006,0.120,-0.120,0
EPIC 206215704 b,1,,,,,1.000,0.100,-0.090,0,0.97200,,,0,,,,,0.25,0.01,-0.01,0,0.41,0.10,-0.08,0,-0.330,0.093,-0.093,0
EPIC 206317286 b,1,,,,,0.960,0.110,-0.150,0,0.84000,,,0,,,,,0.67,0.04,-0.05,0,0.71,0.09,-0.03,0,0.019,0.235,-0.235,0
EPIC 206317286 c,1,,,,,2.094,0.176,-0.160,0,5.03000,,,0,,,,,0.76,0.05,-0.06,0,0.83,0.25,-0.37,0,0.019,0.235,-0.235,0
EPIC 211822797 b,1,0.119500,0.010000,-0.025100,0,1.920,0.120,-0.070,0,4.35000,,,0,0.060000,0.135970,-0.048705,0,0.58,0.01,-0.01,0,0.62,0.02,-0.02,0,0.200,0.050,-0.070,0
EPIC 211945201 b,1,0.149300,0.001500,-0.001500,0,5.760,0.300,-0.300,0,27.00000,14.00000,-12.60000,0,0.000000,,,0,1.39,0.02,-0.02,0,1.17,0.04,-0.04,0,0.100,0.050,-0.050,0
EPIC 212297394 b,1,,,,,1.480,0.130,-0.110,0,2.79000,,,0,,,,,0.80,0.03,-0.03,0,0.83,0.05,-0.04,0,-0.030,0.150,-0.160,0
EPIC 212297394 c,1,,,,,2.270,0.190,-0.140,0,5.77000,,,0,,,,,0.80,0.03,-0.03,0,0.83,0.05,-0.04,0,-0.030,0.150,-0.160,0
EPIC 212424622 b,1,,,,,2.170,0.670,-0.420,0,5.35000,,,0,,,,,1.22,0.00,-0.05,0,1.11,0.14,-0.12,0,,,,
EPIC 212499991 b,1,,,,,1.600,0.130,-0.160,0,3.19000,,,0,,,,,0.76,0.01,-0.01,0,0.91,0.04,-0.16,0,,,,
EPIC 212587672 b,1,,,,,1.260,0.110,-0.090,0,2.13000,,,0,,,,,0.98,0.04,-0.03,0,0.99,0.03,-0.04,0,-0.180,0.060,-0.060,0
EPIC 212587672 c,1,,,,,2.320,0.190,-0.120,0,5.99000,,,0,,,,,0.98,0.04,-0.03,0,0.99,0.03,-0.04,0,-0.180,0.060,-0.060,0
EPIC 212624936 b,1,,,,,1.200,0.300,-0.300,0,1.87000,,,0,,,,,0.93,0.20,-0.20,0,1.00,,,0,-0.390,0.250,-0.250,0
EPIC 212624936 c,1,,,,,2.300,0.500,-0.500,0,5.90000,,,0,,,,,0.93,0.20,-0.20,0,1.00,,,0,-0.390,0.250,-0.250,0
EPIC 212737443 b,1,0.098000,0.004000,-0.004000,0,2.586,0.126,-0.126,0,7.20000,,,0,0.200000,0.200000,-0.200000,0,0.67,0.02,-0.02,0,0.69,0.04,-0.04,0,-0.137,0.127,-0.127,0
EPIC 212737443 c,1,0.280000,0.006000,-0.006000,0,2.690,0.146,-0.146,0,7.70000,,,0,0.200000,0.200000,-0.200000,0,0.67,0.02,-0.02,0,0.69,0.04,-0.04,0,-0.137,0.127,-0.127,0
EPIC 220492298 b,1,,,,,0.990,0.100,-0.100,0,0.93700,,,0,,,,,0.89,0.09,-0.09,0,0.95,,,0,0.280,0.030,-0.030,0
EPIC 220554210 c,1,,,,,1.600,0.100,-0.100,0,3.19000,,,0,,,,,1.00,0.04,-0.04,0,0.94,0.04,-0.04,0,-0.230,0.160,-0.160,0
EPIC 220674823 b,1,0.013120,0.000140,-0.000140,0,1.600,0.100,-0.100,0,7.72000,0.80000,-0.79000,0,0.000000,,,0,0.95,0.05,-0.05,0,0.93,0.01,-0.01,0,0.010,0.010,-0.010,0
EPIC 220674823 c,1,0.109100,0.001400,-0.001500,0,2.200,0.200,-0.200,0,5.80000,3.30000,-3.00000,0,0.180000,0.150000,-0.120000,0,0.95,0.05,-0.05,0,0.93,0.01,-0.01,0,0.010,0.010,-0.010,0
EPIC 228836835 b,1,,,,,1.100,0.300,-0.200,0,1.37000,,,0,,,,,0.32,0.07,-0.07,0,0.42,0.02,-0.02,0,-0.180,0.250,-0.250,0
EPIC 246851721 b,2,0.072290,0.000740,-0.000750,0,11.781,0.493,-0.493,0,953.49000,349.61300,-381.39600,0,,,,,1.59,0.03,-0.03,0,1.32,0.04,-0.04,0,0.141,0.082,-0.085,0
EPIC 248847494 b,1,4.500000,1.000000,-1.000000,0,12.442,0.785,-0.785,0,4131.79000,,,1,0.000000,,,0,2.70,0.12,-0.12,0,0.90,0.09,-0.09,0,-0.230,0.040,-0.040,0
EPIC 249893012 b,1,0.047000,0.005000,-0.007000,0,1.950,0.090,-0.080,0,8.75000,1.09000,-1.08000,0,0.060000,0.080000,-0.040000,0,1.71,0.04,-0.04,0,1.05,0.05,-0.05,0,0.200,0.050,-0.050,0
EPIC 249893012 c,1,0.130000,0.010000,-0.020000,0,3.670,0.170,-0.140,0,14.67000,1.84000,-1.89000,0,0.070000,0.080000,-0.050000,0,1.71,0.04,-0.04,0,1.05,0.05,-0.05,0,0.200,0.050,-0.050,0
EPIC 249893012 d,1,0.220000,0.020000,-0.040000,0,3.940,0.130,-0.120,0,10.18000,2.46000,-2.42000,0,0.150000,0.210000,-0.110000,0,1.71,0.04,-0.04,0,1.05,0.05,-0.05,0,0.200,0.050,-0.050,0
FU Tau b,1,800.000000,,,0,12.200,,,0,5085.28000,,,0,,,,,,,,,0.05,,,0,,,,
G 264-012 b,1,0.022790,0.000610,-0.000610,0,1.390,,,0,2.50000,0.29000,-0.30000,0,,,,,0.30,0.01,-0.01,0,0.30,0.02,-0.02,0,0.100,0.190,-0.190,0
G 264-012 c,1,0.052500,0.001400,-0.001400,0,1.760,,,0,3.75000,0.48000,-0.47000,0,,,,,0.30,0.01,-0.01,0,0.30,0.02,-0.02,0,0.100,0.190,-0.190,0
G 9-40 b,1,0.038500,0.007800,-0.005300,0,2.025,0.096,-0.097,0,4.76000,,,0,0.000000,,,0,0.31,0.01,-0.01,0,0.29,0.02,-0.02,0,0.040,0.100,-0.110,0
GJ 1061 b,1,0.021000,0.001000,-0.001000,0,1.100,,,0,1.37000,0.16000,-0.15000,0,0.310000,,,1,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,-0.080,0.080,-0.080,0
GJ 1061 c,1,0.035000,0.001000,-0.001000,0,1.180,,,0,1.74000,0.23000,-0.23000,0,0.290000,,,1,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,-0.080,0.080,-0.080,0
GJ 1061 d,1,0.054000,0.001000,-0.001000,0,1.160,,,0,1.64000,0.24000,-0.23000,0,0.530000,,,1,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,-0.080,0.080,-0.080,0
GJ 1132 b,1,0.015300,0.000500,-0.000500,0,1.130,0.056,-0.056,0,1.66000,0.23000,-0.23000,0,0.220000,,,0,0.21,0.01,-0.01,0,0.18,0.02,-0.02,0,-0.120,0.150,-0.150,0
GJ 1132 c,1,0.047600,0.001700,-0.001700,0,1.430,,,0,2.64000,0.44000,-0.44000,0,0.270000,,,1,0.21,0.01,-0.01,0,0.18,0.02,-0.02,0,-0.120,0.150,-0.150,0
GJ 1148 b,1,0.166000,0.001000,-0.001000,0,11.900,,,0,96.70000,1.41000,-1.02000,0,0.380000,0.010000,-0.012000,0,0.36,0.01,-0.01,0,0.34,0.02,-0.02,0,0.160,0.066,-0.066,0
GJ 1148 c,1,0.912000,0.005000,-0.002000,0,9.710,,,0,68.06000,4.91000,-2.19000,0,0.342000,0.050000,-0.062000,0,0.36,0.01,-0.01,0,0.34,0.02,-0.02,0,0.160,0.066,-0.066,0
GJ 1214 b,1,0.014900,0.000260,-0.000260,0,2.742,0.050,-0.053,0,8.17000,0.43000,-0.43000,0,0.063000,,,1,0.21,0.01,-0.01,0,0.18,0.01,-0.01,0,0.290,0.120,-0.120,0
GJ 1252 b,1,0.009160,0.000760,-0.000760,0,1.193,0.074,-0.074,0,2.09000,0.56000,-0.56000,0,0.000000,,,0,0.39,0.02,-0.02,0,0.38,0.02,-0.02,0,0.100,0.100,-0.100,0
GJ 1265 b,1,0.026000,0.001000,-0.001000,0,2.630,,,0,7.40000,0.50000,-0.50000,0,0.040000,0.040000,-0.040000,0,0.19,0.01,-0.01,0,0.18,0.02,-0.02,0,-0.040,0.160,-0.160,0
GJ 143 b,1,0.191500,0.005800,-0.006300,0,2.610,0.170,-0.160,0,22.70000,2.20000,-1.90000,0,0.188000,0.076000,-0.078000,0,0.70,0.03,-0.03,0,0.73,0.07,-0.07,0,0.003,0.060,-0.060,0
GJ 15 A b,2,0.072000,0.003000,-0.004000,0,1.550,,,0,3.03000,0.46000,-0.44000,0,0.094000,0.091000,-0.065000,0,0.38,0.05,-0.05,0,0.38,0.05,-0.05,0,-0.340,0.090,-0.090,0
GJ 15 A c,2,5.400000,1.000000,-0.900000,0,6.670,,,0,36.00000,25.00000,-18.00000,0,0.270000,0.280000,-0.190000,0,0.38,0.05,-0.05,0,0.38,0.05,-0.05,0,-0.340,0.090,-0.090,0
GJ 160.2 b,1,0.053000,0.004000,-0.007000,0,3.170,,,0,10.20000,7.20000,-5.90000,0,0.060000,0.200000,-0.060000,0,0.66,0.03,-0.05,0,0.69,,,0,,,,
GJ 163 b,1,0.060700,0.000010,-0.000010,0,3.250,,,0,10.60000,0.60000,-0.60000,0,0.073000,0.050000,-0.050000,0,0.41,0.01,-0.01,0,0.40,0.02,-0.02,0,0.100,0.100,-0.100,0
GJ 163 c,1,0.125400,0.000100,-0.000100,0,2.500,,,0,6.80000,0.90000,-0.90000,0,0.099000,0.086000,-0.086000,0,0.41,0.01,-0.01,0,0.40,0.02,-0.02,0,0.100,0.100,-0.100,0
GJ 163 d,1,1.030400,0.008600,-0.008600,0,5.920,,,0,29.40000,2.90000,-2.90000,0,0.373000,0.077000,-0.077000,0,0.41,0.01,-0.01,0,0.40,0.02,-0.02,0,0.100,0.100,-0.100,0
GJ 179 b,1,2.410000,0.040000,-0.040000,0,13.900,,,0,260.61000,22.25000,-22.25000,0,0.210000,0.080000,-0.080000,0,0.38,0.02,-0.02,0,0.36,0.03,-0.03,0,0.300,0.100,-0.100,0
GJ 180 b,1,0.092000,0.003000,-0.003000,0,2.430,,,0,6.49000,0.68000,-0.68000,0,0.070000,0.040000,-0.040000,0,0.41,0.01,-0.01,0,0.43,,,0,,,,
GJ 180 c,1,0.129000,0.007000,-0.017000,0,2.410,,,0,6.40000,3.70000,-4.10000,0,0.090000,0.200000,-0.090000,0,0.41,0.01,-0.01,0,0.43,,,0,,,,
GJ 180 d,1,0.309000,0.010000,-0.010000,0,2.660,,,0,7.56000,1.07000,-1.07000,0,0.140000,0.040000,-0.040000,0,0.41,0.01,-0.01,0,0.43,,,0,,,,
GJ 2056 b,1,0.283000,0.013000,-0.013000,0,4.170,,,0,16.20000,3.60000,-3.60000,0,0.720000,0.100000,-0.100000,0,0.71,0.02,-0.02,0,0.62,0.08,-0.08,0,,,,
GJ 229 A c,2,0.339000,0.011000,-0.011000,0,2.600,,,0,7.26800,1.25600,-1.25600,0,0.190000,0.080000,-0.080000,0,0.46,0.01,-0.02,0,0.58,,,0,,,,
GJ 229 b,2,0.898000,0.031000,-0.031000,0,2.850,,,0,8.47800,2.03300,-2.03300,0,0.100000,0.060000,-0.060000,0,0.46,0.01,-0.02,0,0.58,,,0,,,,
GJ 251 b,1,0.081800,0.001100,-0.001200,0,1.830,,,0,4.00000,0.40000,-0.40000,0,0.100000,0.090000,-0.070000,0,0.36,0.01,-0.01,0,0.36,0.01,-0.01,0,-0.030,0.160,-0.160,0
GJ 27.1 b,1,0.101000,0.009000,-0.013000,0,3.660,,,0,13.00000,4.10000,-6.60000,0,0.080000,0.180000,-0.080000,0,0.52,0.02,-0.02,0,0.53,,,0,,,,
GJ 273 b,1,0.091101,0.000019,-0.000017,0,1.510,,,0,2.89000,0.27000,-0.26000,0,0.100000,0.090000,-0.070000,0,0.29,0.03,-0.03,0,0.29,,,0,0.090,0.170,-0.170,0
GJ 273 c,1,0.036467,0.000002,-0.000002,0,1.060,,,0,1.18000,0.16000,-0.16000,0,0.170000,0.130000,-0.120000,0,0.29,0.03,-0.03,0,0.29,,,0,0.090,0.170,-0.170,0
GJ 3021 b,2,0.490000,,,0,13.100,,,0,1071.04000,28.60000,-28.60000,0,0.511000,0.017000,-0.017000,0,0.90,,,0,0.90,,,0,0.100,0.080,-0.080,0
GJ 3082 b,1,0.079000,0.003000,-0.003000,0,2.790,,,0,8.20000,1.70000,-1.70000,0,0.220000,0.110000,-0.110000,0,0.47,0.01,-0.01,0,0.47,,,0,,,,
GJ 3138 b,1,0.019700,0.000500,-0.000500,0,1.180,,,0,1.78000,0.34000,-0.33000,0,0.190000,0.180000,-0.130000,0,0.50,0.03,-0.03,0,0.68,,,0,-0.300,0.120,-0.120,0
GJ 3138 c,1,0.057000,0.001000,-0.001000,0,1.880,,,0,4.18000,0.61000,-0.59000,0,0.110000,0.110000,-0.070000,0,0.50,0.03,-0.03,0,0.68,,,0,-0.300,0.120,-0.120,0
GJ 3138 d,1,0.698000,0.018000,-0.019000,0,3.230,,,0,10.50000,2.30000,-2.10000,0,0.320000,0.200000,-0.210000,0,0.50,0.03,-0.03,0,0.68,,,0,-0.300,0.120,-0.120,0
GJ 317 b,1,1.151000,0.018000,-0.018000,0,13.300,,,0,794.50000,222.50000,-127.10000,0,0.070000,0.010000,-0.010000,0,0.43,0.01,-0.01,0,0.42,0.02,-0.02,0,0.301,0.076,-0.076,0
GJ 317 c,1,5.230000,0.111000,-0.111000,0,13.500,,,0,522.50000,19.10000,-19.10000,0,0.170000,0.020000,-0.020000,0,0.43,0.01,-0.01,0,0.42,0.02,-0.02,0,0.301,0.076,-0.076,0
GJ 328 b,1,4.500000,0.200000,-0.200000,0,13.300,,,0,731.00000,41.32000,-41.32000,0,0.370000,0.050000,-0.050000,0,0.65,0.02,-0.02,0,0.69,0.05,-0.05,0,0.000,0.150,-0.150,0
GJ 3293 b,1,0.143390,0.000030,-0.000030,0,5.190,,,0,23.54000,0.88000,-0.89000,0,0.060000,0.040000,-0.040000,0,0.40,0.03,-0.03,0,0.42,,,0,0.020,0.090,-0.090,0
GJ 3293 c,1,0.361750,0.000480,-0.000470,0,4.870,,,0,21.09000,1.24000,-1.26000,0,0.110000,0.100000,-0.080000,0,0.40,0.03,-0.03,0,0.42,,,0,0.020,0.090,-0.090,0
GJ 3293 d,1,0.193940,0.000170,-0.000180,0,2.670,,,0,7.60000,1.05000,-1.05000,0,0.120000,0.130000,-0.090000,0,0.40,0.03,-0.03,0,0.42,,,0,0.020,0.090,-0.090,0
GJ 3293 e,1,0.082080,0.000030,-0.000040,0,1.630,,,0,3.28000,0.64000,-0.64000,0,0.210000,0.200000,-0.140000,0,0.40,0.03,-0.03,0,0.42,,,0,0.020,0.090,-0.090,0
GJ 3323 b,1,0.032820,0.000540,-0.000560,0,1.230,,,0,2.02000,0.26000,-0.25000,0,0.230000,0.110000,-0.110000,0,0.12,0.03,-0.03,0,0.16,,,0,-0.270,0.090,-0.090,0
GJ 3323 c,1,0.126400,0.002100,-0.002200,0,1.320,,,0,2.31000,0.50000,-0.49000,0,0.170000,0.210000,-0.120000,0,0.12,0.03,-0.03,0,0.16,,,0,-0.270,0.090,-0.090,0
GJ 3341 b,1,0.089000,,,0,2.460,,,0,6.60000,0.10000,-0.10000,0,0.310000,0.110000,-0.110000,0,0.44,0.03,-0.03,0,0.47,,,0,-0.090,0.090,-0.090,0
GJ 338 B b,2,0.141000,0.005000,-0.005000,0,3.190,,,0,10.27000,1.47000,-1.38000,0,0.110000,0.110000,-0.080000,0,0.58,0.03,-0.03,0,0.64,0.07,-0.07,0,-0.030,0.160,-0.160,0
GJ 3470 b,1,0.035500,0.001900,-0.001900,0,4.570,0.180,-0.180,0,13.90000,1.50000,-1.50000,0,0.017000,0.016000,-0.012000,0,0.55,0.02,-0.02,0,0.54,0.05,-0.04,0,0.200,0.100,-0.100,0
GJ 3473 b,2,0.015890,0.000620,-0.000620,0,1.264,0.050,-0.049,0,1.86000,0.30000,-0.30000,0,0.000000,,,0,0.36,0.01,-0.01,0,0.36,0.02,-0.02,0,0.110,0.190,-0.190,0
GJ 3473 c,2,0.087600,0.003500,-0.003400,0,2.630,,,0,7.41000,0.91000,-0.86000,0,0.000000,,,0,0.36,0.01,-0.01,0,0.36,0.02,-0.02,0,0.110,0.190,-0.190,0
GJ 3512 b,1,0.337000,0.001000,-0.001000,0,14.300,,,0,146.20107,6.35657,-3.17828,0,0.440000,0.010000,-0.010000,0,0.14,0.01,-0.01,0,0.12,0.01,-0.01,0,-0.070,0.160,-0.160,0
GJ 3512 c,1,1.292000,0.003000,-0.003000,0,9.320,,,0,63.56568,3.17828,-3.17828,0,0.018300,0.000100,-0.000100,0,0.14,0.01,-0.01,0,0.12,0.01,-0.01,0,-0.070,0.160,-0.160,0
GJ 357 b,1,0.035000,0.002000,-0.002000,0,1.217,0.084,-0.083,0,1.84000,0.31000,-0.31000,0,,,,,0.34,0.01,-0.01,0,0.34,0.01,-0.01,0,-0.120,0.160,-0.160,0
